无奈荔支何，前度来迟今又早	相思桃叶杳，主人已去客犹留
两届星周，循誉久推贤太守	九秋霜陨，后凋又谢老成人
方欣一顾空群，燕市台高，神骏逍遥谁买骨	剩有四龄弱息，汉江波冷，悲啼辛苦叹将雏
经幔授官箴，使节刚从同凤去	仙軿翔客路，家书愁绝伯鸾看
答主恩清慎忠勤，数十年尽瘁不遑，解组归来，犹自心存君国	殚臣力崎岖险阻，六千里出师未捷，骑箕化去，空教泪洒英雄
要地正需贤，十五年拥节秉麾，可法可师，文章经济，忆春风送别青门，返旆似嫌君太速	微疴能夺命，廿二日遗函发箧，斯人斯疾，乡邦气数，对秋雨飘零黄叶，抚棺已痛我来迟
廉吏不可为，剧怜终老一州，翠羽颁云仍未睹	故人欣有后，料得传书双雁，麻衣如雪正初归
老凤健丹山，忽惊养辍宣文，望十丈龙门，关辅孤寒齐一恸	封鱼睽素愿，正值悲深奉倩，叹半年驿路，皇华归去挈双棺
百药竟无灵，剧怜夫子未归，锦瑟华年伤客路	五花曾被宠，乍睹佳儿有妇，瑶台明月列仙班
百战久垂名，扫遍欃枪，那堪华顶招魂，惊睹归元怒先轸	一夫今倡乱，变生肘腋，卒使壶头赍恨，惨教裹革痛文渊
大树顿飘零，缅半生绩楙旂常，知北阙褒忠，旷典特颁鸡鹿塞	高堂尽垂暮，惨前代祸同藩镇，值南辕返榇，英灵遗憾鹳鹅军
弟妹尽飘零，叹班超未遂生还，恰为大家抚膺一恸	门楣好夫婿，幸阿士能垂文誉，新谐佳妇且慰九原
汝性最聪明，曾伴阿兄吟柳絮	甥行皆幼弱，忍看若辈著芦花
白水久盟心，难忘东阁官梅，数点冲寒同入咏	红尘今撒手，怅望西江云树，万家举火待何人
一死便成大自在	他生须略减聪明
苦我半生，可怜举案荆妻，先归天上	祝卿再世，不遇登科夫婿，莫到人间
本是同族弟兄，当年论事论心，每到难时怜故我	试问吾乡父老，此后任劳任怨，更从何处觅斯人
匡道统于圣学绝续交，诚意正心，讲席敢参他说进	夺我主于国事纷纭日，排和议战，明朝无复谏书来
作帝师师，公之桃李遍天下	为民父父，膏以黍苗及后人
是人间父母神明，大被万家，遗爱长留钜鹿笏	遍海内门生知己，心香一瓣，失声同哭岘山碑
五度闽峤宣风，厚泽深仁，德政长留功不朽	三载程门立雪，感恩知己，渊源授受谊难忘
文章千古事	肝胆十年交
道不远人人远道	卿须怜我我怜卿
死而有知，应喜慈亲仍聚首	生何所恋，长离老父独伤心
以身许国不及私，力疾而衡文，从容而坐化，岂真仙乎非死，死固乐矣生奈何，妻也子也弗在侧	惟我相从为有素，因缘则翰墨，恩谊则弟兄，可怜病望其来，来未几时君又逝，医耶药耶咎伊谁
以文字结主知，卅年敭历清华，轺车衔命，讲幄宣勤，仆仆半生，遂以勤劳婴宿疾	惟仁人宜寿相，半百光阴荏苒，一椽仅蔽，二顷难谋，萧萧清况，博将遗泽付诸甥
两世契交情，溯从事丹铅，诸昆亲炙多年，获教岂徒身受益	一朝悲永诀，看公归素旐，伯兄宦羁斯地，临风不独我伤神
天上谪仙，此去依然参桂署	人间隐吏，今来何处问桃源
惭未因群随谒纪	惨于见绍辄思康
再世获传衣，最喜缘深堪历久	三台期接席，那知望切竟成空
累世簪毫，方期启沃酬恩，尚克同心作霖雨	数旬騑牡，岂意春明话别，不堪回首望停云
朝露洒遗笺，问几人东阁重窥，有子才如苏右相	春明陪末座，忆两载南车亲奉，前贤怅失郑司农
渊云大文，赵张为政，奋建家风，时望兼汉廷数子	省台故事，都邑讴思，门墙述训，令名传荆国先贤
一品荷殊荣，文望官声，端谨咸钦臣节粹	千秋逢异数，崇衔美諡，幽冥应感圣恩深
践道一身修，贵乎言功者德	易名当代少，止于义理曰安
前辈典型亡北斗	中原旗鼓失南军
短后记裁衣，历雪窖冰天，万里追随班定远	长安仍索米，剩鸢肩火色，九衢恸哭马宾王
一病负殊恩，九派沧江怀太守	十年成大觉，二分明月吊诗人
半生豪气销杯酒	垂老愁怀托砚田
礼重延宾，七载倍钦陶母谊	训垂翼子，一家齐凛敬姜箴
人间铁案无私，请质东南山行者	天半神旗高卓，试看大小眼将军
衰白际时艰，孤恨荒愁，蹈东海而死	文章憎命达，片言只字，与北斗长垂
草茅坐论成千古	文采风流少一人
先轸此归元，料晋绛英灵，飒爽弓刀能杀贼	常山悲喋血，仗平原家祭，苍凉旌翣与招魂
自伤白首亡知己	我为苍生哭此人
生在百花先，万紫千红齐俯首	春归三月暮，人间天上总消魂
门前但有青蝇吊	冢上行看大鸟来
六字碑文，谁是多情公子	一抔黄土，可怜薄命佳人
仆本陌路萧郎，从来好事	卿果章台柳妾，何处招魂
美玉褫颜，明珠晦色	宝瑟永谢，瑶台顿倾
去年胪唱正今朝，开残阆院名花，空回首玉堂天上	半月湖山成一梦，望断衡阳归雁，最伤心锦字机中
一生只为名心死	六极惟将恶字除
气绝凌云，他日岂遗司马稿	泪倾流水，此时先碎伯牙琴
愁寄天边，子始成名身易箦	哀传日下，父终遗命世传经
遗疏表孤忠，惟一片血诚，可格鬼神，可质天地	几人拟私諡，待千秋论定，传之史册，报之馨香
期服听去官，犹子比儿，嗟我未能行古礼	毕生惟好道，言坊行表，如公端合祀乡贤
地下见爹娘，为言季子非人，不孝不弟	云间逢父老，共说宰官爱我，廉善廉能
吴会未平，是先帝与荩臣临终遗恨	楚材方盛，愿后人继我公不世勋名
蝴蝶有情同入梦	鸳鸯到死不分飞
自丈人峰颓，难弟难兄，棣萼一庭悲夜雨	看羊公碑在，斯民斯土，棠阴百里泣秋风
我来陈榻犹悬，可怜宦况萧然，那有余赀归旅榇	公在崇祠已建，但得官声如此，应无遗憾到泉台
砚草犹存，空忆芙蓉秋水度	琴音忽渺，难忘风雨对床时
姊妹中尔最多才，只自因女嫁男婚，百感攒心成一病	弟兄辈近无善状，莫惨说生离死别，九原忍泪慰双亲
二十年读书，二十年作宦，取义成仁，担得起纲常两字	进无以助援，退无以固守，孤忠效死，羞对此章贡双流
武侯读书，大意略观，是讲求经济	渊明鼓琴，不求甚解，乃涵养性情
老屋将倾，只管淹留何日去	新居未卜，不妨小住几时来
三市金银器	五侯车马尘
匝地清阴三伏候	参天老树百年余
有地在心，不求风水好	无田亦祭，只要子孙贤
自惭无地栽桃李	到处逢人说竹林
百无一事可言教	十有九分不像官
教无所教偏称教	官不成官却是官
近圣人居大门径	享闲居福小神仙
读书人惟这重墙门可以无妨出入	做官的当此种职分也要有些作为
了他过去因缘，偶然游戏	还我本来面目，自在逍遥
受录开宗，千秋香火人间世	栖真卜筑，一室烟霞物外身
苦心未必天终负	辣手须防人不堪
求其生不得则无憾	勿以善之小而弗为
与其私千万卷在己，或不守之子孙	孰若公一二册于人，能永传诸奕禩
绝夤缘奔竞阶，务专求实学	杜浮言夸张习，要不采虚声
半榻梦刚回，活火初煎新涧水	一簾春欲暮，茶烟细颺落花风
一抔香土花仍放	二月芳辰雨未晴
晓烟贴地鱼盈浦	空水沿篱韭出畦
种来香国当三月	聘得金台第一花
果证幽明，看善善恶恶，随形答响，到底来那个能逃	道通昼夜，任生生死死，换姓移名，下场去此人还在
装神扮鬼，愚蠢的心下惊慌，怕当真也是如此	成佛作祖，聪明人眼底忽略，临了时还待怎生
小乔夫婿英雄裔	姑射仙人绰约姿
南部烟花谁夕秀	东坡侍妾是朝云
对月转思残醉后	看花好待晚妆时
琴心未许调司马	仙骨何缘肖媚猪
连环唐苑绸缪印	彩缕齐宫续命丝
爱我品题夸绝代	玉人声价重连城
小海歌喉珠一串	凌波微步玉双钩
月借眉痕秋淡处	香销心字夜深时
怜他杨柳春深后	采得苹花露下时
小小名犹传乐府	莺莺生本属诗人
莺边烟重春无力	鹤背云寒月有声
阑干碧玉都成字	乐府青溪旧有名
桐叶喜添花下影	木樨羞窃月中香
顾影只输花第一	问名未到月初三
如意不劳多著口	媚人须要放开眉
顾尔常依金粟佛	有人来证木樨禅
但愿瑟琴调子细	再休风雨听郎当
蟾光却爱团圞夜	鸾韵分拈上下平
彭郎矶畔人无两	蒋帝祠边妹第三
亚栏柳軃莺调吕	三径花娇蝶梦周
绛帐一时培后辈	黄巾三舍避先生
也知文士以文会	不意此生来此州
青琐花轻重	银桥柳万千
万年觞有清和气	一品集无时世文
老竹当风生古趣	幽兰临水抱闲情
品齐日观云亭峻	气与风兰水竹清
老骥伏枥	流莺比邻
飘风作态来梳柳	细雨瞒人去润花
既已摩顶庵中，宜守空王戒律	何故画眉窗下，偏学京兆风流
三标子现身说法	大老官及早回头
东山丝竹	南海衣冠
庸庸碌碌曹丞相	哭哭啼啼董太师
身修而后家齐，家齐而后国治	天时不如地利，地利不如人和
相对半床书，冀渐臻圣域	但啜一瓯粥，誓不入公门
文宜浅淡乾枯短	人忌鬍麻黑胖长
国朝谋略无双士	翰苑文章第一家
碧水冷银瓶，祠近岳家追孝媛	青山标石碣，墓临孙氏聚贞魂
为恤民艰看菜色	欲知宦况问梅花
议贵议功，一言活昭信中堂，难逃青史	伪仁伪义，三品留江苏巡抚，无补苍生
人生几事如意者，举世忧其名	君子于玉比德焉，良工琢为器
与月乐天花乐地	将诗惊鬼酒惊人
最防官折儿孙福	难得人称父母名
漫道此之谓	谁知恶在其
吟思白堕倾家酿	坐对青山读异书
家累催人儿女大	名场责我友朋多
湖山气并文章秀	天地恩容出处宽
为小相，予欲无言，则将焉用彼相	有世臣，是可忍也，今之所谓良臣
五日内三相沦亡，真假革殊途，一老一病一冤枉	两月间四夷宾服，战守和异议，半推半就半含糊
一失脚成千古笑	再回头是百年人
龙虎榜中人第一	烟花队里醉千场
王道扶翼，万年有纪	皇图广大，四海不波
太守二千石	道宗五百年
守始图成，以翼其善	造义繇道，不求诸人
一枪戳出穷鬼去	双钩搭进富神来
朝无绛灌，不妨贾谊之少年	坐有邹枚，未害相公之末至
日月阎罗殿	风霜业镜台
翁之乐者山林也	客亦知夫水月乎
不可以风霜后叶	何伤于月雨余云
何草不黄秋以后	伊人宛在水之湄
马革裹尸，深负公等	虎头食肉，彼何人斯
战河南，战河北，毋忘此日精忠	出山东，出山西，再作明时将相
福人沉醉未醒，全凭马上胡诌	幕府凯歌已休，犹听曲中阮变
福业告终，只看卢前马后	崇基已毁，何劳东捷西沾
闯贼无门，匹马横行天下	元凶有耳，一兀直捣中原
我闻在昔，惟伊尹格于皇上	民到于今，微管仲吾其左袵
送客船停枫叶岸	寻春人指杏花楼
随遇而安，素患难行乎患难	与人无忤，呼马牛应以马牛
银无可洗	云尚能梯
有同嗜焉，从吾所好	不多食也，点尔何如
以一篑为始基，从古天下无难事	致九译之新法，于今中国有圣人
且漫道见所未见，闻所未闻，即此格致关头，认真下手处	何以能精益求精，密益求密，须从鬼神屋漏，子细扪心来
有水有田方有米	添人添口便添丁
吕氏姑娘，下口大于上口	徐家子弟，邪人多过正人
造成东倒西歪屋	用尽贪赃枉法钱
说什么无双国土	不过是从九官儿
七品八品九品，品愈趋而愈下	一集二集三集，集日积而日多
五经博士	六等生员
江淮河汉	日月星辰
门前买卖，有如飞蚊，队进队出	柜内银钱，好比匿虱，越捉越多
偶来付丙者	便是识丁人
年年扯空布袋，少米无柴，只剩得大肚宽肠，为告众檀越，信心时将何物布施	日日坐冷山门，接张待李，但见他欢天喜地，试问这头陀，得意处有甚么来由
昆仑山人初入都，客淮南李公春芳所。时世宗斋居西宫，建设醮坛，敕大臣制青词一联悬于坛门。春芳使山人为之。山人走笔题曰：‘洛水灵龟初献瑞，阳数九，阴数九，九九八十一，数数通乎道，道合元始天尊，一诚有感	岐出威凤两呈祥，雄声六，雌声六，六六三十六，声声闻于天，天生嘉靖皇帝，万寿无疆。’李以进呈，深加奖赏。由是公卿互相延誉。其本传谓‘大臣应制青词多假手山人’者以此。乃他人移之别氏，则以雕虫为山人讳也
囊无半卷书，惟有虞廷十六字	目空天下士，只让尼山一个人
孝若曾子参，才足当一字可	才如周公旦，容不得半点骄
丹毫一点，乃吾民利害攸关，须念悖出必将悖入	白日三竿，即尔室公私毕照，莫谓知显不在知微
六位仰时成，六龙御世，六凤仪廷，圣德备膺九五福	十华徵券锡，十赍孚恩，十全继续，慈闱欢溥万千觞
元符根太极，五百岁为春，五百岁为秋，春秋筭协福筹，八叶椿开无量寿	妙果证长生，三千年一花，三千年一实，花实数周星纪，九重桃献大罗天
大地欢胪殷庶，道统际重熙，六叶升恒，万国万年长拱极	清时盛谱和声，光天歌复旦，十华糺缦，寿星寿宇遍腾辉
八音节，八风和，月轮正满	十瑞臻，十章献，日驭方中
志异征诛，三让两家天下	功同开辟，一抔万古江南
我意祈麦秋，泽随地遍	公灵震华夏，日在天中
威镇雄州，野树尚含荆浦绿	神游故国，夕阳偏照蜀山红
志在春秋，孔圣人未见刚者	气塞天地，孟夫子所谓浩然
乃圣乃神、乃武乃文，扶四百载承尧之运	自西自东、自南自北，如七十子服孔之心
至诚之动，孚及豚鱼，虽阿瞒莫敢不服	大义所归，坚如金石，惟使君乃得而臣
前杜氏而好春秋，仗义宣威，此老原非徒左癖	后岑侯而镇荆楚，奉词伐罪，彼苍何忍听彭亡
望重南阳，想当年羽扇纶巾，忠贞扶季汉	泽周西蜀，爱此地浣花濯锦，香火拥灵祠
曰宫曰殿，曰幸且曰奔，诗史留题，千古犹存正统	书吴书魏，书汉不书蜀，儒臣特笔，三分岂是偏安
筹笔在攻心，当年化洽宾幪，冠带百蛮归典属	安边曾叱驭，此日风清瓯脱，云霄万古仰宗臣
春耕夏耘，秋收冬藏，万物育焉，鬼神之为德	雷出地奋，云行雨施，百室盈止，膏泽下于民
光天开糺缦之祥，雨非恒雨，旸非恒旸，二十四气成四时，群生并茂	化国衍舒长之祚，朝不废朝，夕不废夕，三百六旬有六日，庶绩咸熙
龙虎忌争行，廿四番花信吹馀，致雨兴云，勿张旗鼓	豚鱼占利涉，七二候箕神簸后，飞刍挽粟，好送帆樯
九土足农田，但期膏不下屯，霖雨遍敷天下望	三吴称泽国，更愿流无旁滥，江河长向地中行
补天娲神，行地母神，大哉乾，至哉坤，千古两般神女	治水禹圣，济川后圣，河之清，海之晏，九州一样圣功
三十年宦海平安，旦夕焚香，惟求利济	一万里慈云庇荫，间关行役，重许瞻依
聪明正直之谓神，清夜焚香，惟愿斯民敦孝弟	雨旸寒燠以成岁，丰年报享，长期列部颂升平
善恶报施，莫道竟无前世事	利名争竞，须知总有下场时
终日解其颐，笑世事纷坛，曾无了局	经年坦乃腹，看胸怀洒落，却是上乘
古佛由来皆铁汉	凡夫但说是金身
大慈悲能布福田，曰雨而雨，曰旸而旸，祝率土丰穰，长使众生蒙乐利	诸善信愿登觉岸，说法非法，说相非相，学普门功德，只凭片念起修行
八百年寰海昭灵，溯湄屿飞升，九牧宗风荣庙祀	四万顷具区分派，喜娄江新浚，三吴水利沐神庥
爱物为心，一命于人亦有济	得民以道，千秋斯统不虚传
道统阐薪传，洙泗真源今未坠	儒型垂梓社，沧洲精舍此重开
儒术岂虚谈，水利书成，功在三江宜血食	经师偏晚达，篇家论定，狂如七子也心降
水月尽文章，会心时原不在远	星云灿魁斗，钟灵处定非偶然
前公山，后文山，一气蜿蜒，知天地精华所萃	始小学，终大学，真源脉络，统圣贤体用之全
列女传从刘向定	夫人心只息侯知
中有仙龛虚一室	更邀明月作三人
朝有奸党，岂能成将帅之功，若教仗钺专征，蛟虎犹非对手敌	世无圣人，不当在弟子之列，谁信读书折节，机云曾作抗颜师
溯后先三百载游蹤，异代同堂，能结有情香火	冠今古第一流人物，文章事业，也如无尽江山
九江孔殷，以享以祀	五人为伍，乃圣乃神
思亲泪落吴江冷	望帝魂归蜀道难
我辈此中惟饮酒	先生在上莫吟诗
志节慕睢阳，忧国读书，尚记金龙山在	英灵同伍相，飞刍挽粟，正须白马潮来
改鹾法，近悦远来，试观淮浦连年，浩浩穰穰，岂惟追齐相夷吾，府海功施称再造	荐飶馨，春祈秋报，况对郁洲胜境，熙熙皞皞，真可继晋贤靖节，名山祀典配三元
万里版开图，云栈星邮，往来下拜功臣像	百蛮碑在口，渝歌賨舞，欢喜常存故老思
冠履肃丹楹，似丞相祠堂，柏郁森森承雨露	声威通紫塞，忆将军幕府，旌扬熠熠壮风云
缠井络以界坤维，天府奥区，皇极会归雄带砺	控荆蛮而引秦陇，岩疆重任，臣心寅畏凛冰渊
删定赞修，直千古同功，较汉唐训诂诸儒，仰高山而倍切	德性问学，原两端并举，任陆王纷坛异说，撼大树以何能
地是名山宜庙食	民思贤守本诗人
心到虔时佛有眼	运当亨处石能言
洁廉为心，忠信为仗	文章在册，功德在民
地当黄运之中，水欲治，漕欲通，千里河流，涓滴皆从心上过	官作军民之主，宽以恩，严以法，一方士庶，笑啼都到眼前来
官有典常，任一日则尽一日之心，况兼地广事繁，敢不夙兴夜寐	民供正课，宽几分则受几分之惠，纵使时丰岁稔，常如怨暑咨寒
二百载青毡，蝉联八世	两三间白屋，鹤隐千秋
业精于勤，修其孝弟忠信	学优则仕，以为黼黻文章
使节壮湖山，东南坛坫	文光拱奎壁，咫尺宫墙
渍种必苗，爇兰必香，千家茆屋书声，定有几枝大手笔	登高自下，陟遐自迩，万里蓬山云路，先从一邑小文场
皇路许驰驱，举孝兴廉，海峤人文罗福地	天门同詄荡，蜚声腾实，蓬瀛才望奋清时
达四门四目四聪，我有嘉宾，莫负文章华国选	书六德六行六艺，烝哉髦士，要兼孝弟力田科
初日照三神山，看碧海珊瑚，尽收铁网	长风破万里浪，喜丹霄银榜，早兆珠宫
乡赋念嘉宾，彩笔昔曾干气象	持衡留藻鉴，文昌新入有光辉
恩湛鸾坡，环海胪欢歌曼寿	名标雁塔，曲江高会洽群仙
地是周京，广进吉人歌引翼	制循汉室，特颁明诏选贤良
门对南山，看太乙峰高，华国雄文争气象	恩迎北阙，值长庚星朗，作人雅化颂庞淇
左席罗珍，群仰星槎来左掖	东门吁俊，试看奎曜丽东垣
运际右文，凤起蛟腾连右辅	门迎西极，星辉云烂照西京
科重西京，盛世作人徵寿考	躔逢南极，祥晖绚采接文昌
地接龙门，多士须联鱼贯队	恩开虎榜，嘉宾同拜鹿鸣歌
地重棘闱，看云里翚飞，四面轩窗增壮气	轮圆桂殿，听月中舞羽，一番鼓吹接仙音
楼起层霄，是明目达聪之地	星辉文曲，看笔歌墨舞而来
戊茂协菁莪，璧月圆时同寿宇	寅清收杞梓，璚云多处朗文星
恩被贤良，听天语鸾衔，朵殿丝纶承北极	科联甲乙，喜人文鹊起，辟雍钟鼓振西京
函关东，玉关西，萃两省人文，手提珊网	使星内，台星外，合一时宗匠，心澈冰壶
精白一心，入手恍听蚕食叶	丹黄万卷，到头伫看鹿衔苹
典重求贤，荡节分持宣汉诏	堂开吁俊，輶轩亲到采秦风
岌嶪龙门，雷浪可容轻跃过	分明蟾窟，霓裳未许窃听来
担驰戴星，且共岑苔吟夜月	文披垂露，便看玉笋坐春风
称心好句欣先睹	入手奇文岂漫藏
姓氏不妨偕豹隐	光芒终许看龙腾
绚采文疑堆锦绣	研朱笔合架珊瑚
顾误辨讹须守黑	分章析句合涂黄
小队出郊坰，愿七萃功成，净洗银河长不用	偏师成壁垒，看百蛮气慑，烟消珠海有余清
官要虚心，总能发伏厘奸，须识我得情勿喜	民宜守分，若到违条犯法，可怜汝无路求生
愿他十邑诸公清风扇野	容我一年四季明月锄花
上古关无征，后世不得已而榷关，慎勿失其初意	本朝税有额，小民如其分以纳税，何可使有怨言
拱北星辰兼上将	征西部属半通侯
化雨无私，忆往岁踏雪来过，曾话春风一席	摩云有志，愿诸生凌霄直上，勿忘灯火三更
片刻聚谈，此地无分宾主	一时抠谒，其间原有后先
得月快争先，共仰楼台近水	望风齐向上，欣看冠佩如云
得氏营丘，溯李唐同朝二相，在野三公，下迄宋、元、明，代有文人光海国	卜居冲麓，看梅里排闼四山，环村一水，甲于皖、歙、婺，天开图画赛瀛洲
大夫不敢祖诸侯，表海雄风，莫问遥遥华胄	途人其初本一体，敬宗收族，当思密密连枝
坐里门内，夕而朝教不忘就尔事	习君子言，尊以遍学莫便近乎人
方千里育贤之地	第一重入圣之门
蹈德泳仁，发祥流庆	兴廉举孝，署行议年
秩元祀，礼莫愆，继祢继祖继高曾，孝思不匮	屡丰年，岁其有，奉牲奉盛奉酒醴，明德惟馨
曲录三弓，庾信有园难拓地	连蜷一本，刘安之树可留人
袍笏呼来先拜石	管弦麾去独听松
明月双溪水	春风满县花
历宦海两朝身，万顷惊涛仗忠信	借他乡一廛地，卅年此屋亦辛勤
安土而能敦，因寄所托	择邻焉得智，且住为佳
客来醉，客去睡，老无所事吁可愧	论学粗，论政疏，诗不成家聊自娱
地价不妨多，明月清风本无价	物情何足校，近水遥山皆有情
平地起楼台，流寓依然吾土美	著书多岁月，退思未报主恩深
灯火春星浮北郭	云霞朝景揽西神
花雨欲随岩翠落	松风遥傍洞云寒
不必定有梅花，聊以志将军姓氏	从此可通粤海，愿无忘宰相风流
世无遗草真能隐	山有名花转不孤
似闻陶令开三径	来与弥陀共一龛
两脚不离大道，吃紧关头，须要认清岔路	一亭俯看群山，占高地步，自然赶上前人
洞辟几时，问孤松而不语	云飞何处，输老鹤以长闲
到岸猛回头，听潕阳第一滩声，浪与篙争，好仗神威资利济	顺流须努力，看黔国万重山水，峰随舵转，全凭忠信涉波涛
石室天开，见大地山河三千世界	水帘风卷，露半天楼阁十二阑干
如此江山，何幸不才来领郡	亦谈风月，每逢嘉兴即登楼
半壁江山，六朝雄镇	一楼风月，几辈传人
高视两三州，何论二分月色	旷观八百载，难忘六一风流
春水绿波扬子渡	梅花明月状元山
风月天高，楼台地迥	云霞海曙，梅柳江春
东阁联吟，有客忆千秋词赋	南楼纵目，此间对六代江山
真人白水生文叔	名士青山卧武侯
天与雄区，欲游目骋怀，一层更上	地因多景，喜山光水色，四望皆通
形势拓南徐，对秣陵树色，瓜步江光，何处平分吴楚	画图开北固，有米老庵存，卫公塔在，依然映带金焦
两点金焦，到山者不如望	一庵海岳，怀古者见其人
排闼两峰青，欣轮奂齐云，环雉堞更上一层，尽见匡庐真面目	干霄千丈紫，恐锋铓过露，敛龙光深藏什袭，如罗星宿壮心胸
水远天长，万古川原连泰渎	年丰人乐，四时风景胜滁阳
欲泛仙槎向何处	偶传红叶到人间
大隐寄淮堧，十亩芳塘涵德水	高怀拟绿野，满园花木绣春风
诸葛大名垂宇宙	元戎小队出郊坰
门前学种先生柳	岭上长留处士坟
隔岸眺仙蹤，问楼头黄鹤，天际白云，可被大江留住	绕阑寻胜迹，看树外烟波，洲边芳草，都凭杰阁收来
云石江将疑字浙	风篁岭若误髯苏
胜迹别嘉鱼，何须订异箴讹，但借江山摅感慨	豪情传梦鹤，偶尔吟风啸月，毋将赋咏概生平
忠孝振纲常，党籍编名，气节宛如东汉	文章垂宇宙，诗家衍派，门庭别启西江
载酒为公来，率儒服儒冠，仍似旧开诗屋宴	僦居无地住，占宜山宜水，却教长祭墨池田
朝朝朝朝朝朝夕	长长长长长长消
胜地集名儒，轶姚许赵窦以抗宗传，群仰夏峰作乔岳	熙朝开理学，继濂洛关闽而昌后裔，从教睢水得渊源
甘守清贫，力行克已	厌观流俗，奋勉修身
非关因果方为善	不计科名始读书
先有本而后有文，读三代两汉之书，养其根，俟其实	舍希贤莫由希圣，守先正大儒之说，尊所闻，行所知
克己最严，须从难处去克	为善必果，勿以小而不为
立身行道，扬名于后世	夙兴夜寐，无忝尔所生
凡今之人，不如我同姓	聿修厥德，无忝尔所生
士恒士，农恒农，工恒工，商恒商，族少闲民，便有兴隆景象	父是父，子是子，兄是兄，弟是弟，门无乖气，方为孝友人家
人生惟酒色机关，须百炼此身成铁汉	世上有是非门户，要三缄其口学金人
咬定几句有用书，可忘饮食	养成数竿新生竹，直似儿孙
两袖入清风，静忆此生宦况	一庭来好月，朗同吾辈心期
同德即同心，从教救病嘘枯，体天意好生而布惠	善终如善始，愿得提纲挈领，遵圣言思永以图功
博爱之谓仁，当知拯难扶颠，恺恻常同施补救	见险而能止，但愿风帆浪舶，仓皇转得报平安
铁面无私，凡涉科场，亲戚年家须谅我	镜心普照，但凭文字，平奇浓淡不冤渠
科场舞弊皆有常刑，告小人毋撄法纲	平生关节不通一字，诫诸生勿听浮言
世上几百年旧家，无非积德	天下第一件好事，还是读书
戒之在斗，戒之在色，戒之在得	职思其居，职思其外，职思其忧
有忍乃有济	无爱即无忧
洗心曰斋，防患曰戒	循法无过，修礼无邪
贪嗔痴即君子三戒	戒定慧通圣经五言
阴阳风雨晦明，受之以节	梦幻露电泡影，作如是观
扫地焚香，清福已具	粗衣淡饭，乐天不忧
仁仁义宜，以制其行	经经纬史，乃成斯文
凡避嫌者内不足	有争气者无与辨
仿君子懋修，志无怠，功无荒，箴游观所其无逸	求古人陈迹，经有程，史有课，譬稼穑乃亦有秋
士所尚在志，行远登高，万里鹏程关学问	业必精于勤，博闻强识，三余蛾术惜光阴
海纳百川，有容乃大	壁立千仞，无欲则刚
坐卧一楼间，因病得闲，如此散材天或恕	结交千载上，过时为学，庶几炳烛老犹明
领三楚雄藩，来旬来宣，问何以推心赤子	承九重懿训，有为有守，要无惭对面青山
惟贫病相兼，乃称寒士	并钱漕不取，才算清官
老吏何能，有讼不如无讼好	小民易化，善人终比恶人多
闻使君讲院新开，说礼敦诗，名相风流推后起	愿诸生贤关早辟，读书论道，大儒理学有真传
身历四朝沾浩荡	眼看七代衍孙曾
著书台迥名繁露	入画山多学富春
两世三公，太平宰相	一堂五代，富贵神仙
南士渊源承北学	秋曹门馆坐春风
清门甲第传儿辈	旧部湖山属寓公
白发盈簪，凡内外将相公卿，咸识三朝元老	黄河如带，遍东南儿童父老，共钦六管宣防
节制两河，德水廿年瞻福曜	耆英七帙，恩纶初吉贲中枢
谢恩孙代趋朝杖	上寿儿归听讲筵
帝寿股肱，九霄赐额	民歌父母，八座齐眉
帝命汝作士，惟明克久	天锡公纯嘏，俾寿而康
望重达尊，北斗尚书南极老	恩承敬典，天朝耆旧地行仙
八州都督，五柳先生，经济文章，百代心传家学远	六甲初周，一阳来复，富贵寿考，两朝身受国恩长
夫作宰相，子作宰相，伫见文孙成宰相，古今一品太夫人，能有几个	天许长生，帝许长生，更闻多士祝长生，富贵百年曰寿考，请增十龄
听履承家，秉钧杖国	卷阿颂奭，嵩岳生申
前生慧业摩麟角	六世清声冠凤池
泉石衍箕裘，名心早净云封岫	翠钿围杖履，笑口常开雪避髭
高祖当朝一品	文孙及第三元
畿辅为屏，越五百里	科名盖代，第十三人
东壁仰儒风，正色却邪蒿之纂	南天培士气，高文扶大雅之轮
爱日伫期颐，兰阶早酿十年酒	慈云周海岳，莱彩犹栽一县花
众母奉寿母，江南大母	三春祝千春，上巳长春
人间贤母曾推孟	天上仙姑本性何
六秩翁侍九重亲，况伉俪偕老子孙贤，问内外贵僚，谁同大福	七闽歌兼两浙舞，合兖豫去思吴楚颂，愿东南吉曜，直丽中台
矮屋策高文，九天升，九渊沉，九转丹凝，多士出身，在此九月九日	秋闱醒春梦，三艺竞，三场竟，三条烛烬，一官回首，于今三十三年
县考难，府考难，院考尤难，四十八年才入泮	乡试易，会试易，殿试更易，二十五月已登瀛
二分月下真耆宿	六十年前旧茂才
想当年发迹鸡窗有余味	是他日重歌鹿野之先声
古籍待刊三十载	旧闻新见一千年
有才子八人，采献莱衣，林壬大备	先立春三日，厘延柑酒，花甲初周
郡望旧京畿，金谷豪奢函谷险	物华真秀丽，伊川山水洛川花
芸馆忝题名，三纪声华留日下	莎庭闲坐啸，六年宦绩在天中
宦品宜适中，居职忝为二千石	壮龄方筮仕，服官瞬过三十年
泮藻重游，苹笙重听，琼林重宴	老子寿星，哲嗣德星，贤孙文星
西人慈母，东人大父	北极湛露，南极寿星
开上寿初筵，九十日耄	后重阳一日，八千为秋
