一上高楼，缅当年江汉风流，多少千秋人物	双持使节，喜此日荆衡形势，纵横万里金汤
秦时明月	洞口桃花
秦栈连云，看砥路同遵，剑阁尘清，不用青天歌蜀道	巴山话雨，喜故人出守，玉堂墨妙，乞将粉本绘嘉陵
秦汉兴亡只瞬息	瞿黄事迹自神仙
秦淮水榭，西子楼台，记当年听雨判花，偕隐已成无准梦	碧浪裁笺，红牙顾曲，怅此日夕阳芳草，归魂休住有情天
秦皇安在哉，万里长城筑怨	姜女未亡也，千秋片石铭贞
秩元祀，礼莫愆，继祢继祖继高曾，孝思不匮	屡丰年，岁其有，奉牲奉盛奉酒醴，明德惟馨
积善云有报	在涅贵不绍
积德承先，子臣弟友	虚心稽古，礼乐文章
积忠孝以成神，典桂籍科名，予夺后先，十五国文章司命	举阴骘而垂训，鉴槐区德行，权衡富贵，亿万年造化枢机
积忿已深，人斗千歧子多难	近交颇密，我逃九死君云亡
积照涵德镜	素怀寄清琴
积病以多劳，既忙婚嫁，又窘米盐，复追随夫婿宦游，只累他巾帼一个人，送到土中呼负负	藐躬之不死，远念祖宗，近怜儿女，更关系地方民命，待做完国家诸大事，再来天上会卿卿
积石导流趋大海	崆峒倚剑上层霄
积累譬为山，得寸则寸，得尺则尺	功修无幸获，种豆是豆，种瓜是瓜
积翠一岫冷	蹲湖二坊高
称心好句欣先睹	入手奇文岂漫藏
称胡帅，督辫军，先绪班班可仿	结同宗，联婚媾，后裔世吐其昌
称觞共庆千秋节	祝嘏高悬百寿图
称觞尚忆登堂事	挂剑难为过墓情
移取春风门栽桃李	蔚成大器材备栋梁
移孝即为忠，在昔扬言嘉学士	读书先识字，莫将干禄笑平原
移山辟前路	种木荫高枝
移椅倚桐同观月	等灯登阁各攻书
移椅倚桐同赏月	点灯登阁各攻书
移花得蝶	买石饶云
稚子牵牛耕熟地巴山夜雨花枝俏	将军打马过常山幽谷恋歌乳燕飞
稻草扎秧父抱子	竹篮提笋母怀儿
稻草扎秧父抱子	竹篮装笋母怀儿
稽古昔毕类其人，贤以生为，趣由丑作	托清闲咸临此地，情随事感，曲有文听
稽扬州千百人，合成节孝崇坊，质圣贤以彰风化	逢大清亿万载，恩许春秋典祀，感天地而动鬼神
穗帷忍痛安仁句	椎髺难忘德曜风
穷不失义	富而无骄
穷则善其身，文正有言，寡欲似徐文长，多闻似刘中垒	没可祭于社，吾侪私议，硕学若王司寇，名德若姚征君
穷愁但有骨	诗兴不无神
穷愁老病萃于一躬，萧瑟生平，过庾开府	笔冢墨丘与之终古，风流文采，想晋永和
穷经安有息肩日	学道方为绝顶人
穷而有志思壮举	学不自满求创新
穷达寿夭竟何凭，颜渊伯牛，所遭若此	伯叔甥舅皆贤者，皋陶庭坚，不祀忽诸
穷鬼哥快出去，莫要纠缠小弟	财神爷请进来，何妨照看晚生
空山过雨闻敲磬	佛火分灯照读书
空潭泻春，若其天放	明漪绝底，饮之太和
空谷自能生地籁	吟毫端合染溪光
穿冬装，戴夏帽，胡度春秋	走南方，窜北方，混帐东西
穿牖而来，夏日清风冬日日	卷帘相见，前山明月后山山
穿荻小车疑泛艇	出林高阁当登山
窃怪当日仙人，独私渔父	遍寻此中村落，不见桃花
窗前共议四化业	灯下同攻百科书
窗前绿树分禅榻	城外青山到酒杯
窗含远树通书幌	风飐残花落砚池
窗虚五月六月寒，人在冰壶中酌酒	帘卷千山万山碧，客从图画里敲诗
窥藻细鱼泉脉养	踏松么鸟石卷扶
立功在楚北，殉节在粤西，推翻专制，拥护共和，英雄成败均千古	奇迹于涔阳，首丘于岳麓，昔年欢迎，今日追悼，故里风云又一时
立功德言，有三不朽	尚齿爵位，无一非尊
立品如岩上松，必历千百载风霜，方可柱明堂而成大厦	俭身若璞中玉，经磨数十番沙石，及堪琢玉玺而宝庙廊
立宪期以九年，新政实行，从学校起	尊孔升为大祀，吾道不变，与天地参
立庙永馨香，看眼前大好河山，浩劫难磨生气在	登堂闻馨欬，有世上未除蛟虎，先型仰企抱惭多
立德立功，居之以敬	友直友谅，尊其所闻
立志须如三古盛	为书自起一家言
立政待英才，慎乃攸司，知人则哲	兴贤共天位，勖哉多士，观国之光
立朝与天子宰相争是非，悉宗社远谋，国本重计	居恒共师弟朋友相讲习，惟至善性体，小心工夫
立朝与天子宰相争是非，悉宗社远谋，根本大计	居恒共师弟友朋相讲习，惟至善准则，小心工夫
立石自成小五岳	披图而观大九州
立脚怕从风俗转	商怀犹有古人知
立行可模，置言成范	徽猷克著，声绩聿宣
立言不朽志并天高	种千收福永享康平
立身行道，扬名于后世	夙兴夜寐，无忝尔所生
立马问长安，溯太行山色，屈律河声，倦鸟归来，落日酒痕犹在袂	飞龙误方药，叹玉树凋霜，黄杨厄闽，哀猿啼断，秋风尘泪忽沾衣
竖起脊梁立行	放开眼孔观书
竟栖栖作刀笔吏耶，降志辱身，我与才郎原自晦	问睒睒见少微星否，知生吊死，国无君子欲安归
章台柳，章台柳，往日依依今在否	斑竹枝，斑竹枝，泪痕点点寄相思
童子冠军，十二年前惭此座	亚洲靖难，九千里外望吾宗
童子打桐子，桐子落，童子乐	丫头啃鸭头，鸭头咸，丫头嫌
童子打桐子，桐子落，童子乐	和尚立河上，河上崩，和尚奔
童子打桐子桐子落童子乐	媳妇提锡壶锡壶漏媳妇怒
童子看橡一二三四五六七八九十	先生讲命甲乙丙丁戊己庚辛壬癸
端午之前，犹是夫人自称曰	重阳而后，居然君子不以言
端居喜良友	独立占古风
端景缘直表	茂实偶英声
竹寺等僧归双手拜四维罗汉	木门闲可至两山出大小尖峰
竹本无心遇节岂能空过	雪非有意他年又是自来
竹树楼台弹指即现	烟云邱壑着纸而成
竹比劲，石比顽，旧人又阅新岁	水益深，火益热，时局略如臣家
竹石得幽秉	壶觞多雅游
竹笋出墙，一节须高一节	梅花逊雪，三分只是三分
竹笋初生，何时称得林大秀	梅花放发，哪曾见得叶先生
竹箭声华当代选	梅花消息故人来
竹萎蕉枯，此日是师真面目	焚香洒水，当年惟我旧朋俦
竹里登楼，风引三山不去	花间看月，溪流四序如春
竹雨松风梧月	茶烟琴韵书声
竹马共嬉娱，六十年灯火扬州，长忆儿童笑语	铜符宣化泽，廿八载棠阴汉上，试听父老讴歌
竹鼯花猪，春游好读坡仙赋	莼鲈稻蟹，秋兴应题杜老诗
笃礼崇义	抱淑守真
笑傲江湖	游戏人间
笑前贤许多祥麟威凤	乃所愿作个战马耕牛
笑古笑今，笑东笑西，笑南笑北，笑来笑去，笑自己原无知无识	观人观物，观天观地，观日观月，观来观去，观他人也有高有底
笑盈盈辞旧岁	喜滋滋迎新春
笔下留有余地步	胸中养无限天机
笔老诗新疑有物	水清石瘦亦能奇
笔足代耕，不厌兼金归掌握	文能行远，何妨只履上云霄
笙箫奏凤凰	鼓乐迎佳宾
笛弄梅花曲	莺啼杨柳风
笛歌吹开九面云，看舞袖频翻，风流当忆长沙国	家山共此三湘水，听乡音无改，雅调如翻渔父词
笠屐此重来，风月依然，鱼娃学打花边桨	古今同一局，湖山再造，国手能生劫后棋
第一楼边浮大白	初三月上荡空青
第三桥是苏学士堤，问夹岸垂杨，可似老梅冷淡	不数武有岳鄂王墓，慨中原战马，何如野鹤逍遥
第五之名齐票骑	十三此夜订心交
第啸一声山鸣谷应	举头四顾海阔天空
等闲暂别犹惊梦	此后何缘再晤言
筑堂不过七八尺	野航恰受两三人
答主恩清慎忠勤，数十年尽瘁不遑，解组归来，犹自心存君国	殚臣力崎岖险阻，六千里出师未捷，骑箕化去，空教泪洒英雄
策令公单骑见贼不惊，我惊此人物	后渔父五年饮弹而死，公死亦英雄
策河者三，命农者三，建学校者三，既复揽英接秀吐握者三，政报三年，公署上上考而公且去	簪花第一，饮泉第一，守江山第一，故应捍患御灾治平第一，化先一郡，民皆皞皞如而民不庸
筵前倾菊酿	堂上祝椿龄
筹添沧海日	嵩祝老人星
筹笔在攻心，当年化洽宾幪，冠带百蛮归典属	安边曾叱驭，此日风清瓯脱，云霄万古仰宗臣
箕尾黯星躔，诏语天嗟遗老一	衣冠崇洛社，典型人失达尊三
箕畴之九五福次寿	庄叟日八千岁为春
算永东华，若木光腾春九十	祥开南极，蟠桃花放岁三千
管仲不为，十族惨于真召忽	成王安在，一言愧煞假周公
管子天下才，公论他年青史在	鲍叔知我者，故交此日白头稀
管子天下才，霸图表海盐专卖	东坡宦游地，吏隐即仙心太平
管百姓须爱百姓	要一钱不值一钱
箧有三山记	胸藏五岳图
箫引凤凰春生斑管	杯斟鹦鹉香溢梅花
篆凝仁寿字	花发吉祥春
簪笔侍三天，谪仙人秉节南来，似经万里夜郎，听莺小住	锋车驰六月，选佛地乘云西去，空望千年华表，化鹤归来
簿领有余闲，退食聊为容膝地	簪缨多俊侣，清谈俱是素心人
粉墙丹柱动光彩	高崖巨壁争开张
粒我蒸民，使有菽粟如水火	播时百谷，先知稼穑之艰难
粗茶淡饭布衣裳，这点福让老夫消受	齐家治国平天下，那些事有儿辈担当
粟绽缝黄见	藕断露丝飞
精义测神奥，清机发妙理	远想出宏域，高步超常伦
精白一心，入手恍听蚕食叶	丹黄万卷，到头伫看鹿衔苹
精神到处文章在	学问深时意气平
素车有客奔元伯	绝调无人继广陵
紫御迎春，瑞拂千条御柳	丹楼映日，祥开万树宫花
紫极正中央，万国共球并集	青阳迎左个，千门雨露皆新
紫极焕璇题，瑞露凝甘留净域	丹轮开宝相，香岩拥翠俯晴江
紫气满关中，合李聃同期而至	青城临蜀道，先王旦一日以生
紫气迎祥双阙晓	彤云献瑞五门春
紫燕双飞迎春舞	红花并蒂朝阳开
紫箫吹月翔丹凤	翠袖临风舞彩鸾
紫薇华省承纶诰	金粟香风舞彩衣
紫陌寻春，尚隔同年之面	青云得路，可知异日之心
累世簪毫，方期启沃酬恩，尚克同心作霖雨	数旬騑牡，岂意春明话别，不堪回首望停云
累世纪群交，忆兰省枢垣，齐向后尘趋轨范	传家召杜谱，喜皖峰沪渎，共听两地颂台莱
累累如贯珠，旋相为宫十二律	洋洋乎盈耳，环而听者数千人
红友忧分贤圣品	绿卿看长子孙枝
红妆带绾同心结	碧树花开并蒂莲
红日初生，万户祥云临复道	青阳乍转，九天佳气敞重楼
红杏争春群芳献瑞	白华养志二老承欢
红杏在林，如有佳语	碧桃满树，良殚美襟
红杏在林，幽鸟相逐	碧桃满树，清露未晞
红杏在林，疏雨相遇	碧桃满树，清露未晞
红杏领春风，愿不速客来醉十日	绿杨足烟水，在小新堤上第二桥
红梅吐芳喜成边理	绿柳含笑永结同心
红梅绿竹称佳友	翠柏苍松耐岁寒
红梅铮骨傲雪	桃李笑颜迎春
红烛夜深观博议	绿窗风静咏周南
红阑曲曲路三折	苍石亭亭山四围
红面关黑面张白面子龙面面护着刘先生	奸心曹雄心瑜阴心董卓心心夺取汉江山
纪信、韩信，假帝假王	仲尼、牟尼，大圣大觉
纪信韩信，假帝假王	宣尼牟尼，大圣大觉
纱幔仰传经，八座起居，彤管频题香茗集	板舆隆养志，三春报答，碧幢忽废蓼莪篇
纳公规若毫发，贻公谤若丘山，不祥如余，愿世世勿相友	尽其力为张良，洁其身为龚胜，非命而夺，疑苍苍者匪天
纵使有钱难买命	须知无药可通神
纵尽时间，横尽空间，几多教育家、政治家、宗教家，谁是完全人格	客观内籀，主观外籀，一有文字想、经济想、功名想，已非真正自由
纵怀华事当春去	畅足清游载月归
纵谈中外事	洞彻古今情
组练三千朝蹋浪	貔貅十万夜观书
组织仁义，琢磨道德	栋梁华夏，舟楫江河
细羽家禽砖后死	粗毛野兽石先生
终南太华镇东方，杨柳金城，万井挹关中紫气	葱岭昆仑睇西极，葡萄玉塞，一樽撰天上黄流
终古招邀山色远	几人爱惜月明多
终天唯有思亲泪	寸草痛无益母灵
终日解其颐，笑世事纷坛，曾无了局	经年坦乃腹，看胸怀洒落，却是上乘
绍仁卿汉卿绝诣	兼晓庵勿庵苦心
绎史诵经，思在古昔	登高望远，显于今时
绎志多忘嗟老大	读书有味且从容
经天纬地谓之文，专以新民为大略	彪外弸中觇所学，修其在我是初基
经始问何年，果然逃墨归儒，天使梵王纳士	筹边曾此地，大好修文偃武，我从漳海班师
经学守专门，山川舆图，兼揽其要	鼓行惊特起，文学科目，克光而家
经师郑众，人师程伊川，我交嗣君，只欠抠衣一拜	早岁鸿妻，中岁陶侃母，谁传列女，又添特笔数行
经幔授官箴，使节刚从同凤去	仙軿翔客路，家书愁绝伯鸾看
经术文章，集何郑马班阮谢专长，唐之后诸儒未有也	嬉笑怒骂，为曾左李彭丁张诤友，袁以下自郐无讥焉
经济只今刘计相	词华自昔谢中书
经纶天下	衣被苍生
经纶皆新语	鸾凤本高翔
结婚筵前共饮合欢酒	劳模会上同唱胜利歌
结屋古松下	洗钵清溪傍
结念属霄汉	委怀在琴书
结成平等果	开出自由花
绕寺千嶂，松苍竹翠	出门一笑，海阔天空
绕廓荷花三十里	拂城扬柳一千株
绕郭有山，白云高妙	近水得月，清光大来
绘色绘香绘声绘影胸中具成竹	有水有山有物有人舌底翻莲花
绚言朱蓝文约为美	志在山水琴表其情
绚采文疑堆锦绣	研朱笔合架珊瑚
绛帐一时培后辈	黄巾三舍避先生
绛灌功名，千年如生，痛袭荆陷桧，两皆未用功名，终是人国不祥，故人国即从而陨获	江湖门户，九澧之蔽，稽拒魏禽么，独毅然遮门户，战为地方作卫，斯地方永报以馨香
绝交流俗因耽懒	出卖文章为买书
绝代艺蘅词，三岛客星归故国	传家爱莲赋，百花生日贺新郎
绝境此何来，版图原非刘氏土	避秦电休问，世家本属晋时人
绝夤缘奔竞阶，务专求实学	杜浮言夸张习，要不采虚声
绝徼作忠魂，孤冢迷离，收骨犹凭鄹曼父	覆盆嗟往事，九重昭雪，吁天不待武陵儿
绝磴蹑天梯，鸟道穷幽，惜此地未来灵运驾	名山留洞府，龙威探秘，问诸生谁是茂先缘
绝顶共跻攀，江上琵琶向谁语	五峰相揖让，山中云雾待吾开
绣岭银河环画栋	丹书玉宇贮琅函
绣阁团圞同望月	香闺静好对弹琴
绣阁昔曾传跨凤	德门今喜近乘龙
绣阁昔曾传跨风	德门今喜近乘龙
继坡公舣舟，谁为过客	问相如题柱，可比升仙
继承先烈革命传统	发扬前辈爱国精神
续编鸿宝成二集，此二集足千秋，数文学明星，耆旧推两湖第一	重宴鹿鸣已七年，再七年便百岁，算死生同日，去来皆六月初三
绮岁记联吟，华岳浔阳同劲敌	骚坛难振响，词笺赋笔总伤神
绮阁当风空有影	晚萱经雨不留芳
绮阁风寒伤心鹤唳	兰阶月冷泣血萱花
绯衣坦腹旧有征，讵料抄延瓜蔓	赤色异星急犯座，从知谶应天文
维桑与梓，念兹戎功，宜其遐福	彼苍者天，降此大厉，歼我良人
维楚有材，大厦于今要梁栋	因树为屋，故乡无此好湖山
绵绛二州，其百姓皆曰于我有德	湖山一角，后千年来与故人同龛
综中西为一家言，横览九流无此学	立功名于万里外，不缘世业足封侯
综生平著述累数万言，能使绝笔重光，当代作家，公真健者	举终身精力以殉一事，卒得大名而去，前辈苦行，吾党识之
绿字赤文皆可诵	浓妆淡抹总相宜
绿桔红柑奇香可挹	交梨大枣仙口同珍
绿水本无忧，因风皱面	青山原不老，为雪白头
绿竹本无心，遇节即时挨不过	黄花如有约，重旭以后待何迟
绿绿红红处处莺莺燕燕	花花草草年年暮暮朝朝
缇骑自崖千叶海	名山同寿一家言
缕结同心日丽屏间孔雀	莲开并蒂影摇池上鸳鸯
缘尽先离，伤心卌载荆枝，漫说来生还有约	事多未了，回首七旬萱荫，敢言已死便无知
缘法尽三生，记曾割臂疗姑，愚孝回天吾不及	别离能几日，纵使爱身为国，久居重地老何堪
缞抱及今全两孤，垩室义嫠，纱帷贤母	萸囊无术避重九，秋花晚节，寸草春心
缠井络以界坤维，天府奥区，皇极会归雄带砺	控荆蛮而引秦陇，岩疆重任，臣心寅畏凛冰渊
缩千里为咫尺	联两地为一家
缺口何尝缺	湾头自有湾
罄室不楹三百户	钟山却占一千盘
罢学救亡，罢市救亡，我两界挺身先起	民心不死，民国不死，愿诸君努力进行
置身古人敢不勉	美利天下终无言
置邮传命	为政在人
羊祜惠犹留岘首	马援功未竟壶头
羊角牛头如剑立	燕岩鸳涌绕栏来
美人才子有情痴，女爱男欢，祝生女皆美人，生男皆才子	圆月好花无量寿，天长地久，愿地上花常好，天上月常圆
美味招来云外客	清香引出洞中仙
美富文才传左国	清微画品数南宗
美玉褫颜，明珠晦色	宝瑟永谢，瑶台顿倾
美花多映竹	乔木自成林
美言不信，信言不美	疑人莫用，用人莫疑
羡姊三迁训子，四行劻夫，计平生妇职无亏，仉氏班姬堪并拟	恸我十年炊臼，九月废莪，想此后泉台有伴，小姑从母定相亲
群族竞争，观以佛家平等法	十年教训，养成君子六千人
群然和者幽兰曲	快哉当之修竹风
群玉成山，思文衍邰室	上奎炳耀，绳武播邠风
群盗如毛	大家努力
群盗鼠窃狗偷，死者不瞑目	此地龙蟠虎踞，古人之虚言
群贤毕至，少长咸集	清风徐来，水波不兴
羲经六子，艮巽坎兑震离	周礼一书，天地春秋冬夏
羽仪呈鸑鷟	藻思焕琼琚
翁之乐者山林也	客亦知夫水月乎
翁之夫妇同作天上神仙，楚囚迟归来，是痛哭西州门一大纪念	我与郎君皆为国民分子，鲁纬长叹息，愿追从英吉利二勇少年
翁去八百年醉乡犹在	山行六七里亭影不孤
翁去八百里，醉乡犹在	山行六七里，享影不孤
翔风膏雨	左书右琴
翠微一拳，对立人纪	湖水千尺，清见母心
翠竹黄花皆佛性	清池皓月照禅心
翠箓演天元，泰策揲图书正位	珠弧环斗柄，寿星辉角亢南缠
翠翠红红，处处莺莺燕燕	风风雨雨，年年暮暮朝朝
翠翠红红处处莺莺燕燕	风风雨雨年年暮暮朝朝
翠药红蘅几番风雨	黄花绿菊好个霜天
翰墨三馀隙	陂塘五月秋
翰墨溯高风，轮扶大雅	椒馨荐遗爱，鼎峙前修
翰墨缘情制	山林引兴长
翼德威明，鄙阿瞒如小儿，能视豫州同骨肉	王陵忠义，弃项羽如敝屣，独知刘季是英雄
耀武扬威，隔窗子怒门斗两眼	穷奢极欲，提篮儿买豆腐半斤
老不白头因水好	冬犹赤脚为师高
老何所求，一袭绣衣，曾经沧海	传之勿替，三冬文史，差胜金籝
老僧狞视风云笑	禹碑耻争岳麓名
老凤健丹山，忽惊养辍宣文，望十丈龙门，关辅孤寒齐一恸	封鱼睽素愿，正值悲深奉倩，叹半年驿路，皇华归去挈双棺
老可情怀常作竹	少文乐事在游山
老吏何能，有讼不如无讼好	小民易化，善人终比恶人多
老大忽惊，念昔昆仑顿辔，弱水洗兵，劳劳奚补	长生有诀，笑彼马援据鞍，廉颇善饭，诩诩何为
老天别换一番人，还恐一换再换	冷眼日看千万变，权且左看右看
老屋三间，可蔽风雨	空山一士，独注离骚
老屋付东流，只剩两三星火	新居依北固，平分左右金焦
老屋将倾，只管淹留何日去	新居未卜，不妨小住几时来
老屋将倾，只管淹留何日去	新居未卜，不妨小住此为佳
老拳搏古道	儿口嚼新书
老泪我无多，数落落晨星，从此骅骝空冀北	雄才君未尽，叹茫茫泉路，相随鸿雁到荆南
老科目一官无，老幕府一金无，长此劳劳，空有文章安所用	为名士以客死，为孝子以毁死，对兹瞆瞆，欲回造化也徒然
老竹当风生古趣	幽兰临水抱闲情
老而无闻，作绛县隐	恭则得寿，绎丹书铭
老臣白发，痛矣骑箕，整顿乾坤事粗了	满眼苍生，凄然流涕，徘徊门馆我何堪
老衲近寻雷岳去	天风远送叆云来
老革命一刀逃，出没鬼神，生知滂母喜	好家居群儿坏，飘摇风雨，死重鲁嫠忧
老骥伏枥	流莺比邻
老骥思千里	鹧鹩足一枝
老鹤唳空发清吹	苍虬列队礼群仙
考古证今，致用要关天下事	先忧后乐，存心须在秀才时
耄耋齐眉春深爰日	孙曾绕膝瑞启颐年
者个头陀有点来由，四十年中，好结交名士才人，剑仙羽客	平生和尚作些甚么，三千界外，爱赏玩梅花杨柳，古画奇书
耆英十三人皆耄耋	大椿八千岁为春秋
而翁本是美男子	阿婆学作新嫁娘
而耄而耋而期颐，百年祝君子偕老	曰富曰寿曰好德，五福备古人所难
耸翠流丹，千仞丽谯辉日月	萦青缭白，四围屏障合江山
耻帝秦，效鲁连蹈东海	俾戬谷，赓天保寿南山
耽乐术艺	揪敛吉祥
耽文艺如嗜欲	经古人为明曹
聊复尔尔	对此茫茫
聊开禊席临流水	又与风光作主人
聊蔽风雨	如此江山
聋两耳，跛一足	学三绝，人千秋
联吴蜀亲，结吴蜀仇，千古奇人，千古奇事	感郎君情，尽郎君节，一心为义，一心为贞
联蜀拒曹，乃公一生学问	舍奸去诈，则吾十年用心
聚蓄百药画栋前临杨柳岸	平康兆民青帘高挂杏花村
聪听祖考彝训	深知稼穑艰难
聪明正直之谓神，清夜焚香，惟愿斯民敦孝弟	雨旸寒燠以成岁，丰年报享，长期列部颂升平
肝胆不楚越	眉宇真天人
肝胆壮平生，西起皋兰，南游桂粤	时局终浑沌，轰天一醉，埋地百忧
肩齐洛下东西陆	胸贮淮南大小山
肯唱戏是阴功，许靠菩萨吃饭	要上台充角色，须看时景穿衣
肯屈洪宪皇帝之威，舌不能柔，头原可断	似惊澹庵先生犹在，懦真与立，寿自无疆
背画天图，子星历历	东升日影，鸡黄团团
胚胎燕赵悲歌气	雄长沅湘著作才
胜友常临可修食谱尝来皆适口	高朋雅会任选山珍咽去自清心
胜国幅员无寸土	尚书结构有孤亭
胜地南徐山北固	大江东去我西来
胜地怕重经，记当年丝竹宴诸生，回头似梦	名园须得主，幸此日楼台逢哲匠，著手成春
胜地据淮南，看云影当空，与水平分秋一色	扁舟过桥下，闻箫声何处，有人吹到月三更
胜地景芳徽，卅载三贤俱典郡	同龛昭祀典，两文一献共称忠
胜地最幽清，扶杖勾留在映波锁澜桥畔	主人癖风雅，寻诗屡集从月潭花港船来
胜地花开香雪海	妙林经说大罗天
胜地许循陔，成兹乐事	齐心殷舞彩，让尔先声
胜地难逢，莫把眼前错过	众山罗列，最宜雨后来登
胜地集名儒，轶姚许赵窦以抗宗传，群仰夏峰作乔岳	熙朝开理学，继濂洛关闽而昌后裔，从教睢水得渊源
胜境近西泠，愿将来宝藏丰盈，有如一湖春水	家山念东鲁，看列郡灶烟环绕，亦似九点齐州
胜境重开，诗采书声延古趣	生机最乐，雀喧鱼戏助天和
胜景近西泠，愿将来宝藏丰盈，有此一湖春水	家山念东鲁，看列郡灶烟环绕，亦似九点齐州
胜负论棋，切莫误抛一子	海江比学，须知能纳万流
胜迹别嘉鱼，何须订异箴讹，但借江山摅感慨	豪情传梦鹤，偶尔吟风啸月，毋将赋咏概生平
胜迹表官亭，况恰当庐阜南横，大江东去	平湖满烟月，谁补种四围杨柳，十里荷花
胭脂在北，祁连在南，四郡襟喉归揽结	旅宿非舟，陆居非屋，三山楼阁浸虚无
胸中已无少年事	门外犹多长者车
胸富甲兵，小范军中，与韩琦同使西人破胆	代留弦诵，高台城曲，记李泌亦曾南岳读书
胸蟠杜甫千间厦	气压陈登百尺楼
能仕教之忠，有子诗书将食报	欲养亲不待，类余风树早衔悲
能令水石常在眼	任有闲忙不负诗
能以美利利天下	是用多福福一人
能受苦方为志土	肯吃亏不是痴人
能受苦方为志士	肯吃亏不是痴人
能度众生，岂独潭龙知听讲	愿闻一喝，长教海水不扬波
能忍人所难，论妇德称吾家之表	得先夫而死，据恒言则嫂福良多
能招过客饮文字	亦把湍流替管弦
能攻心则反侧自消，自古知兵非好战	不审势即宽严皆误，后来治蜀要深思
能文翰林，能言御史，能任封疆赞翊圣化，有真经济才，公论出朝士口	为国筹运，为民兴利，为我乡里表彰贤达，得大光明寿，妙法现宰官身
能行万里路，又通百国书，无怪诸公，必使班超戍西域	凄凉玉门关，呜咽陇头水，早知今日，不如何逊在扬州
能让高位，闻危事则不辞，完一世功名，是谓真廉亦大勇	最爱苍生，遇奸人则必翦，问身后因果，若非菩萨即金刚
脚色莫说不高，挽牵在幕中，教动左脚，何敢使右脚	人才休赚太小，抬举出台上，无谓今人，必难及古人
脚著谢公屐	身披莱子衣
脱俗书成一家法	写生卷有四时春
脱帽看书，生气远出	杖藜行歌，妙造自然
脱身依旧仙归去	撤手还将月放回
腊梅吐芳迎红日	绿柳展枝舞春风
膝前乃有佳儿，能将邃学艰辛，长此养亲兼养士	地下若逢吾母，为道宦情平淡，不堪医国只医人
臣心如水	王道犹龙
臣朔未可俳优畜	蒙庄能为逍遥游
臣而帝，武而神，庙祀普天，下通民社	澧在南，溇在北，江流遗恨，远汇荆门
臣谟望重范韩，有孝有德，有守有为，朝野共钦严正性	父执交深管鲍，同榜同庚，同官同社，后先并失老成型
臣门如市，臣心如水	今人与居，古人与稽
自丈人峰颓，难弟难兄，棣萼一庭悲夜雨	看羊公碑在，斯民斯土，棠阴百里泣秋风
自主权打通富裕路	责任制架起幸福桥
自任以天下之重如此	是知其不可而为之与
自伤白首亡知己	我为苍生哭此人
自古以来，未有祖宗之仁厚	上天所佑，愿生贤圣之子孙
自古在昔有述作	当今之世咸清贤
自吾党有斯人，能使王侯齐俯首	从此日无知己，默参生死独伤神
自在自观观自在	如来如见见如来
自在观，观自在，无人在，无我在，问此时自家安在，知所在自然自在	如来佛，佛如来，有将来，有未来，究这身如何得来，已过来如见如来
自大江以南，大湖以北，蔓种无遗，重整乾坤，擎天一柱	与曾公文正，胡公文忠，后先媲美，灵钟衡岳，吾楚三人
自康成不为乡里所容，衰绖出游，恸哭犹思临别赙	惟孟坚实与纂修之事，峸编商订，蹉跎只恨未成书
自得高蹇嵼	永言铭佩绅
自惭一世虚生，不堪刘季万钱贺	难得六亲共聚，愿作平原十日游
自惭无地栽桃李	到处逢人说竹林
自愧未能，敢云各科成绩	人须自谅，不过小学初基
自把新诗教鹦鹉	戏拈秃笔扫骅骝
自新新民，止于至善	先觉觉后，求其放心
自有风云回赤帝	俨同霖雨遍苍生
自来学校以书院辅之，如今比屋东西，稍喜欢颜在风雨	吾为父兄望子弟成耳，此后一官南北，还将老眼看云霄
自生民以来逮于我	立天下之大视此亭
自知伯起虽庯峭	不及淳于善滑稽
自立自强，环堵何妨无长物	镜今镜古，读书所以励雄心
自笑平生夸胆气	须知节候即风寒
自蛮烟瘴海游历而还，胜地重临，凭管领六桥风月	与白傅林逋后先相望，崇祠近接，恰平分半席湖山
自西自东，万流仰镜	允文允武，八柱承天
自许诗成风雨惊，为平生硬语愁吟，开得宋贤两派	莫言地僻经过少，看今日寒泉配食，远同吴郡三高
自辛亥、癸丑、丙辰，皆为健将而起革命，失败不馁，成功不居，猛烈进行，此人本国贼所忌	举权利、生命、名誉，并作牺牲以殉共和，独立不移，至死不变，坚苦奋斗，其事较钝初为难
自长非所增，自短非所损	独立不惭影，独寝不惭衾
自问何能，只不着一丝假	有事即办，怎肯偷半日闲
自黎冰次以还，称及门好学而短命死	哭胡讵凡不作，为中国少年之前途危
至乐莫过读书，至要莫如教子	寡智乃能习静，寡营乃可养生
至今斑竹临江活	无数春笋满林生
至德无称，三让两家天下	高山可仰，一抔万古江南
至性乎，至情乎！激叔季之天良，功同东汉投爪女	妻道也，臣道也，从夫君于地下，贤比西山采蕨人
至性至情，得天者厚	实心实政，感人也深
至诚之动，孚及豚鱼，虽阿瞒莫敢不服	大义所归，坚如金石，惟使君乃得而臣
至诚从无妄二字做起	众善皆不忍一念发生
致欢久协曹全谚	介福长酬令伯情
致远钩深，此处好放开眼界	居高临下，到来须站定脚跟
舂陵之气信佳哉，岂知东汉中兴，早已肇基在贫国	贾傅有灵相见否，可惜南湘不返，未能留待佐贤王
舌上逢甘能消苦辣聚来千亩雪	口中津满快意提神纺出万机云
舍南舍北皆春水	他席他乡送客怀
舍南舍北皆春水	山鸟山花吾友于
