好山一窗足	佳景四时宜
人歌上寿	天与稀龄
七十枝如国	八千岁为春
风徽为今之范	仁寿乃古所稀
三千岁月春常在	六一丰神古所稀
七旬岁罢身依健	十度风经烛仍明
寿衍七旬辉宝婺	堂开三代乐薰风
入国正宜鸠作杖	历年方见鹤添筹
月满桂花延七秩	庭留萱草茂千秋
庆贺三多开寿域	祥开七秩映霞觞
七色云霞献寿锦	十分酒意溢华堂
杖国老人增景福	舞衣莱子更精神
金桂生辉老益健	萱草长春庆古稀
当看九州今正盛	谁言七十古来稀
此日萱庭登七秩	他年阆苑祝期颐
养成毛羽凌霄汉	并茂椿萱迈古稀
盛世祥征长寿宇	华堂庆衍古稀年
童颜鹤发寿星体	松姿柏态古稀年
年过七旬称健妇	筹添三十享期颐
国中从此推鸠杖	池上于今有凤毛
花甲重新今晋十	莱衣竞舞古来稀
福寿康宁登堂祝嘏	尊荣安富杖国征年
七度菊香秋后献	五云花洁日边来
庆颂三多琼筵晋爵	祥开七秩玉杖扶鸠
彩舞稀龄诗歌五福	花开益寿缕续长生
日月双辉惟仁者寿	阴阳合德真古来稀
圣世恩颁欣杖国	华诞庆衍快稀年
称兕祝鸠齐眉介福	苟龙薛凤绕膝承欢
日煦萱花云征异彩	天留婺宿人庆百年
翠柏苍松寿者相	童颜鹤发古稀年
鸠杖引年典隆二膳	鹤筹添算庆洽七旬
鹤算频添七旬览揆	鹿车共挽百岁长生
年逾七旬体神康健不服老	心联四化少长贤能共贴心
亿平生德风高尚心灵美	届古稀身体安康福寿长
莫道古来稀年齿已堪告杜老	若论一日长风流直欲唤莲兄
花甲鼓征帆满目青山花明柳暗	古稀鞭老骥两鬓银丝白发童心
论行在列女诸编可陶可沤可韦柳	介厘符九畴五福曰富曰寿曰康宁
介寿呈王母蟠桃一千岁花两千岁实	忘忧羡北堂萱草四十年苦三十年甜
岁过古稀多十载	预祝期颐二十年
菱花当面照黄发	竹叶入唇醉耋龄
喜登八旬高寿	乐享四化大福
四代斑衣松不老	八旬宝婺岁长春
八旬且献瑶池瑞	四代同瞻宝婺辉
鸾笙合奏和声乐	鹤算同添大耋年
杖朝步履仪容古	钓渭丝纶日月长
卓尔经纶传渭水	飘然风致入香山
春酒流香酣寿酒	耆龄添美祝遐龄
天边将满一轮月	世上还钟百岁人
杖朝步履春秋水	钓渭丝纶日月长
八旬鹤发同超母	七秩斑衣学老莱
耆年可入香山寿	硕德堪宏渭水滨
蟠桃已结三千岁	上寿还期二十春
沧海月莹寿母相	瑶台仙近女人星
卓尔经纶垂渭水	飘然风致入香山
奉觞载进常珍酒	设帨多簪益寿花
极婺齐耀同登大耄	椿萱并茂备致嘉祥
渭水一竿闲试钓	武陵千树笑行舟
八秩康强春不老	四时健旺福无穷
八秩康强春秋永在	四时健旺上寿期颐
八秩寿星孚盛国	十全老宿乐昌家
东方善谐南极昌寿	千龄予宴九老图形
桃熟三千欣献瑞	旬开八秩庆添筹
白发朱颜八旬大寿	贤孙孝子四世同堂
礼合告存荣邀天禄	年当梦卜光显国琛
梦叶渭滨兕觥上寿	筹添海屋鸠杖逾期
八方锦绣寿逢泰	十亿祥和富肇荣
天赐期颐长生无极	人间丰岁积庆有余
海屋添筹筵前众祝	绛人城杞算欠六龄
萱寿八千八旬伊始	范福九五九畴乃全
纬幔风和星辉宝婺	金闺日暖膳进常珍
设帨兰陔祥征八秩	奉觞萱室诗颂九如
八旬且献芝兰春自韵	四代同瞻松柏岁长青
八月称觞桂实投肴延八铁	千声奏乐萱花迎笑祝千秋
白发朱颜登八旬大寿	丰衣足食享五福晚年
逾古稀又十年可喜慈颜久驻	去期颐尚廿载预征后福无疆
盘献双桃更熟三千甲子	畴添五福庚同八十春秋
百岁能预期廿载后如今日健	群芳齐上寿十年前已古来稀
羡高年精神康健花甲重添二十载	居上寿齿德俱尊松年永享八千秋
八十岁葆素全真自是申公迎驷马	马千言修身冶性须看老子跨青牛
望三五夜月对影而双天上人间齐焕采	占八千春秋百分之一椿庭萱合共遐龄
华幔霭彤云宝婺腾辉合奏仙埚聆雅乐	绮筵浮绿醑常珍纷列高悬彩帨祝长龄
梓合功高庆麟阁双登寿母八旬跻八座	荪枝荫大值霓裳同咏名经千佛祝千秋
歌人生三乐	颂天保九如
山中桃熟九旬银	海上莲开七朵金
九旬鹤发同金母	七秩斑衣学老莱
一乡称寿母	九十颂奇萱
九志曾留千载寿	十年再进百岁人
耄耋齐眉春常在	孙曾绕膝福自多
庆花甲一周添半	祝萱堂百岁有奇
九如已应拳拳颂	十度再飞频频杯
愿效嵩呼歌福寿	还随莱舞祝期颐
堂北萱花荣九秩	天南宝婺耀千秋
南极桑弧悬九一	东方桃实奉三千
蟠桃经三千岁月	鹤算历九十春秋
人生五福当推寿	天保九如合献诗
南极桑弧悬九一	东方桃实献三千
九旬寿鹿舔黄者	十镇乡贤奉颂词
九老寿留千载笔	十年再进百龄觞
三祝筵开歌大寿	九如诗诵乐嘉宾
自古花甲膺殊遇	而今百岁亦寻常
九五殿开迎杖履	十常安举敬冻梨
桃实三千献仙果	椿荫九十驻春光
松柏常滋仙掌露	凤凰新浴璧池春
鸳弄笙喉同歌四化	篁摇凤尾齐颂九如
帨动春风寿延九裹	萱标绛色庆诞千秋
三千美景添筹算	九十风光乐有余
凝眸极婺腾双彩	屈指期颐晋一旬
桃熟三千樽开北海	春光九十诗颂南山
大好良辰春光明媚	重开令甲上寿期颐
颂献九如门楣喜溢	图陈五福寿字宏开
宝树灵椿三千甲子	龙眉华顶九十春光
慈寿延龄日增康乐	旬年屈指岁允期颐
堂北萱花荣九秩	天南宝婺耀千秋
九十春光永赐难老	三千甲篆悉数未终
寿宇宏开图陈百福	名楣喜溢颂献九如
桃花已发三层浪	人瑞先征五色云
桃熟三千老人星耀	春光九十喜鸟歌喧
登天髦年日增康乐	视天量寿迭晋期颐
算益卅年重周花甲	丹成九转喜遇芳辰
设帨溯当年喜花甲一周又半	称觞逢此日祝萱龄百岁添十
开上寿初筵九十曰耄	乐余年安康八千为秋
乐仰晚年漫道世间难逢百岁	宜登上寿且看堂上再庆十年
丘壑足烟霞九十年来留逸老	庙堂多雨露八旬寿后又生春
松菊并年高衍出箕畴增五福	椿萱同日茂算来花甲合三周
爱日伫期颐兰阶早酿十年酒	慈云周海岳菜彩犹栽一树花
鸿案久相庄还欣三祝华封九如天保	鹤筹同益算预识十年转瞬百岁期颐
家中早酿千年酒	世上长歌百岁人
莫道人生无百岁	须知草木有重春
古稀已是寻常事	上寿尤多百岁人
百岁为高寿	一言乃万金
百岁人歌长寿酒	万载花开太平春
寿同山岳歌百岁	福共海天祝千秋
天边将满一轮月	世上同尊百岁萱
乐奏寿弦歌百岁	德辉彤史祝千秋
君子有诗歌偕老	上寿自古称大齐
瑶池喜晋千年酒	海屋欣添百岁筹
百岁人歌长寿酒	万年花放太平春
九老曾留千载笔	十年再进百令觞
人生不满公今满	世上难逢我竟逢
盛世频开千叟宴	芳辰遥拜五云天
鹤算添筹逾百岁	鱼轩绚彩永千秋
蓬莱盘进长生果	婺宿筵开百岁施
称觞共庆千秋节	祝嘏高悬百寿图
里乘流芳荣褒绰楔	君子偕老景驻蓬壶
天赐期颐长生无极	人间百岁积庆有余
妇德交称百年殊寿	孙荣竞秀五世其昌
天姥高峰期颐祝庆	婺星朗耀日月舒长
家中早酿千年酒	盛世长歌百岁人
天边已满一轮月	世上还多百岁人
人瑞同称耀联弧帨	天龄永享庆溢期颐
百历延龄留晷景	九天华彩护慈云
上寿期颐庄椿不老	君公福履洪范斯陈
天上三秋婺星几转	人间百岁萱草长荣
桃熟三千瑶池启宴	筹添一百海屋称觞
古柏长春寿高百岁	蟠桃嘉会果熟千年
六十年度似芙蓉出水	二次甲辰如桃面方开
风危仰坤仪欢呼共祝千秋节	期颐称国瑞建筑应兴百岁坊
凤凰枝上共庆千秋节	松菊堂中高悬百寿图
九世同居如木之长如流之远	百年偕老吾闻其语吾见其人
孙子生孙五世其昌称国瑞	老人偕老百年共乐合家欢
上寿逾期颐一片婆心应锡谷	大龄绵岁月千秋仙果为分香
百岁大齐年偕老期颐绰楔褒荣称人瑞	双佛无量寿绵长日月瀛洲驻景傲仙家
二老共道	双寿齐祥
双星天象	全福人家
岗陵并祝	日月双辉
星云同献瑞	日月互争辉
日月双辉	河山并秀
椿萱并茂	庚婺同明
家中全福	天上双星
鹤筹添屈指	兕酒介齐眉
神仙联眷属	日月仰升恒
交柯树并茂	合卺筵同开
鸳鸯歌福绿	麟凤纪征祥
益寿花开并蒂	恒春树茁连枝
双星竞渡瑶池月	五桂争开玉海秋
梅竹平安春意满	椿萱昌茂寿源长
人近百年交柯树	天留二老合卺筵
桃李齐开春正好	屋堂合曜寿无疆
瑶觞春介齐眉寿	锦砌晖承绕膝花
天上人间齐焕彩	椿庭萱合共称觞
椿萱并茂交柯树	日月同辉瑶岛春
千岁桃开连理木	万年枝放太平花
凤凰枝上花如锦	松菊堂中人比年
华堂晓振云璇响	鸿案新餐雪藕新
鹤鹿同春人长寿	日月放彩岁大丰
少得情缘为伉俪	老而高寿颂平康
园林娱老儿孙好	夫妇同耕日月长
勤俭持家由内助	康强到老有余欢
凤引斑衣人绕膝	筋飞绿醑案齐眉
红梅丝竹称佳友	翠柏苍松耐岁寒
南极星辉牛女渡	北堂萱映凤凰枝
庆佳节双欣长寿	贺新春五谷丰登
乐府重重歌并寿	莱衣两两颂双星
紫电辉煌双鹤寿	春风浩荡百花开
并蒂花开瑶岛树	合欢酒进寿星杯
兰桂俱芳逢盛世	椿萱并茂遇高龄
齐眉笑倚鸠头杖	绕膝欢擎鹤口杯
位于内外家之正	寿以期颐福且兼
松木有枝皆百岁	蟠桃无实不千年
期颐百岁称人瑞	福寿双全蔚国华
丹凤传来王母使	青牛驾递老君书
松柏常滋仙掌露	凤凰新浴璧池春
饮来甘谷何云老	比到香山尚有期
凤萧合奏双成曲	鸿案相庄二老人
堂上椿萱夸并茂	壶中日月庆双辉
二经甲子春初度	一奏笙歌乐人怀
自古倡随勤不倦	于今老健福能齐
霞觞对举齐鸿案	莱彩联行舞凤雏
极姿当天皆福曜	艾蒲应候即良辰
双栖珠树千年鹤	三秀琼田五色芝
鸾笙合奏华堂乐	鹤算同添海屋筹
碧桃和露骄技发	青鸟传书比翼飞
白首相应多乐事	朱颜并驻祝长生
勤俭起家由内助	康强到老有余闲
荫茂椿萱连理树	厨开樱笋合欢席
同林娱老儿孙好	松菊堂中人比年
凤凰枝上花如锦	松炙堂中人比年
年享高龄夫妻同健	时逢盛世兰桂齐芳
妇德交称上寿允享	孙荣竞秀五世其昌
堂上椿萱夸并茂	寿中日月庆双辉
南极星辉牛斗度	北堂萱映凤凰枝
寿以期颐福且兼	位于内外家之正
五色云封连理树	万年枝放并头花
高士东篱年齐八秩	寿星南极光照千秋
志大年高一腔热血	童颜鹤发满面春风
嘏祝千秋国家祥瑞	筹添百算福寿双全
瑶草琪花骈陈左右	木公金母辉映东西
算益二旬重周花甲	寿登百岁永庇椿荫
绕膝承欢图开家庆	齐届至乐福备人间
弧帨同悬室家相庆	极婉前耀福寿兼全
日上月恒天运兆长生之庆	椿荣萱茂地灵钟不老之祥
行乐及时已得三万六千日	大德必寿预祝一百有廿年
二老并高年不让神仙眷属	九畴衍洪范兼全福寿儿孙
百岁祝期颐为半将来为半将过	重光瞻日月曰如其升曰如其恒
八千岁为春天上碧桃正骈枝结实	九五福曰畴云开青鸟亦比翼飞来
百岁庆期颐绰楔褒荣尊崇真是人中瑞	九如歌日月蓬壶驻景逍遥为作地行仙
喜溢椿庭椒盘献瑞	欢承萱宝柏酒称觞
蟠桃天上骄枝实	凤管人间合鹊调
鸿案齐眉宜春启瑞	兕觥介寿永日腾欢
鸳谱夙联盟椒酒称觞犹是合欢初合卺	鹤筹新益算莱衣舞彩还欣同月又同年
弧帨同悬桃符竞艳	觥筹交错椒酒流香
弧帨喜同悬二美征祥兰寝讴歌延淑景	瑟琴歌共升百年偕老椒盘献瑞祝遐龄
节到中和春正好	缘深伉俪寿无疆
红杏争春群芳献瑞	白华美志二老承欢
节纪中和阳春二月	缘深伉俪偕老百年
鸿案庆齐眉寿域宏开正喜百花作生日	鹿车欣挽手衡门偕隐永教二老的长春
览揆值良辰正绿果青囊酒进宜春添喜气	登堂庆荣诞看桑弧华帨诗歌偕老祝长生
春满蓬壶延晾景	声驰琴瑟奏仙埙
桃李争春喜双寿	椿萱并茂看齐眉
桃李齐开春正好	台前合曜寿无疆
酌斗称眉觥齐鸿案	悬弧设帨乐奏鸾笙
椿萱并茂多福多寿	桃李联盟宜室宜家
桃李联芳长春不老	极婺并耀纯嘏弥长
弧帨同悬葵心向日	椿萱并茂婪尾留春
樱笋厨开兕觥进酒	椿萱荫美鹤算添筹
芍药栏边花开富贵	椿萱堂上祝寿期颐
海屋并添筹正逢首夏清和留得长春富贵	华堂同祝嘏不似人间夫妇竟如天上神仙
蒲艾同芳良辰览揆	椿萱并茂美意延年
地洽良辰何山并寿	天逢端午日月双辉
地腊逢辰河山并寿	天中建午日月双辉
鸿案眉齐碧筒酒熟	鹿车手挽瑶岛春长
沉李浮瓜兕觥进酒	悬弧设帨鹤算添筹
荷沼颂鸳鸯碧筒杯里倾佳酿	芝田游鹤鹿青玉案前祝大年
上寿祝良辰是桃熟千秋却到骈枝生色	佳缘联嘉藕正莲开并蒂会看举案齐眉
弧帨同悬秋光初到	琴瑟在御夏屋宏开
椿茂萱英畴增五福	庚明婺焕辉映双星
椿萱并茂亦柯树	瓜果同开合卺筵
弧矢同悬风清七夕	台前合曜彩彻双星
览揆值良辰银汉鹊桥填欲就	有缘联嘉藕金鸳谱绣长新
月圆人共圆看双影今宵清光普照	客满樽俱满羡齐眉此日秋色平分
家庆团圆蟾宫月满	无锡纯嘏鸿案凤长
高士东篱好花并蒂	寿星南极圆月交辉
朗抱赠宫同照影	良缘鸿案永齐眉
仙侣友生比翼共乘丹凤下	中秋介寿重轮齐涌月蟾来
椿萱并茂伉俪和谐益寿平添鹤筹算	风月俱佳啸歌清鬯同心共挽鹿门车
松菊未荒三径乐	椿萱偕老百年长
同志鹿车菊花隐逸	齐眉鸿案桃实神仙
伉俪雍和庭放菊	风光良好面如春
菊酒萸囊琼筵晋爵	雕弧锦帨玉杖扶鸠
椿萱并茂河山寿	庚婺同明日月辉
弧帨喜同悬正上寿奉觥	棒萱看并茂是齐眉举案
梅苑生春诗歌偕老	蓉屏耀彩寿祝同庚
节届小春梅花纸帐甘同梦	香添长寿蓉镜妆台证合欢
益寿如添五纹钱	合欢同进百年怀
柏节松贞持晚景	兰芳桂实灿朝霞
葭琯征时兕觥同酌	兰阶爱日鸿案相庄
葭琯动飞灰爱日迎春正喜一阳初复	莱衣试舞彩寿星朗耀还欣二老同庚
椿萱与桂兰并茂	松柏偕天地同春
天竹腊梅相映成色	寿山福海共祝无疆
弧帨同悬门画虎	琴瑟静好杖扶鸠
饮蜡吹豳嘉平纪月	悬弧设帨偕老延年
鹤算同添华堂笃枯	鹿车并挽寿宇延春
添来腊月风光椿萱与桂兰并茂	耐得岁寒时节松柏偕天地同春
喜添凤侣双飞翼	欢祝驾俦百岁春
桐叶征祥桃花纪算	鸾俦比翼凤侣添翎
置闰定时喜添凤侣双飞翼	延年益寿欢祝鸾俦百岁春
人如天上珠星灿	春到筵前柏酒香
年抛造物陶甄外	春在先生杖履中
凤纪调元春滥萱幄	鹤筹添算庆溢兰陔
淑气初衔梅花浅	和风迭试柳枝鲜
萱草忘忧征懿德	椒花献颂祝遐龄
彩帨增辉兕觥叶庆	璇图启瑞凤历纪元
喜逢华诞歌春酒	好向新年戏彩衣
梅帐寒消花益寿	萱帏春护草生香
五福梅开筹添鹤算	三多竹报酒晋兕觥
桃符新换添佳气	蓬矢高悬祝大年
宝婺辉联南极晓	斑衣彩舞北堂春
黍谷回春椒花献瑞	萱堂称庆柏酒延禧
辛盘荐新西母蟠桃子熟	酉樽益寿北堂萱草春长
椒颂庆遇龄亥算征时同练老	椿阴森佳气寅回应律启青阳
谷旦春王淑气初衔梅色浅	良辰介寿和风还试彩衣鲜
乾始启昌期春到兰闺延淑景	坤仪钦懿德喜腾萱室祝遐龄
三祝华封瞻泰斗	二分春色到花朝
花开红杏酣春色	酒进南山作寿杯
纳杏在林时维二月	紫芝纪算数合九畴
瑶岛香浓芝草圃	五楼人醉杏花天
天护慈萱春不老	门悬彩帨色常新
杏圃春融寿添海屋	兰阶日丽彩舞莱衣
鹤算添算杏仙上寿	鲤庭舞彩莱子承欢
二月庆芳辰大会群仙开杏苑	一心悬宝婺骄臻五福备箕畴
杏花正芳辰红杏尚书欣祝嘏	花朝即生日百花仙子乐称觞
花逢修楔林如画	酒泛瑶池客尽仙
余庆咸符福极会	延春雅奏寿人歌
椿萱并茂多康多寿	桃李联盟宜室宜家
蟠桃已结瑶池露	玉树交联间苑春
东序兰芳三春草	北堂营村百世花
紫阅生春香添金鼎	黄钟应律冰贮玉壶
花繁曼倩三千树	草就蒙庄十万言
海屋云开筹添八百	琼林雾霭桃熟三千
桃瑶岛长春开寿宴	竹璇闱永日庆生辰
桃熟三千佳果平分仙洞	春光九十称觞偏占芳辰
锦帨呈祥共春旗一色	瑶觞献瑞祝寿母千秋
鹤转笙惟似奏霓裳月殿	算摇凤尾恍迎瑶岛神仙
驹隙数流光春去旧雨夏来今雨	兕觥称华诞日长小年寿晋大年
蔷薇喜浥琼林露	芍药祥开金带围
四月清和节临首夏	百年康健树种恒春
首夏清和长春富贵	慈云庇护爱日绵长
荼蘼开到清和月	芍药应称富贵花
令节清和春留姿尾	大年福寿酒进遐龄
桃实呈祥骄臻百福	极星拱寿辉映三台
树茂椿庭添福影	香斟佳酿祝遐龄
酒泛金樽以介眉寿	花开琼岛有婪尾春
萱茂华堂辉生绵帽	仁爱笃厚获寿延年
设帨庆良辰正常北延春树来萱草	称觞逢令旦又郊南迎夏开满槐花
正交端午作生日	惟有昌阳可引年
端午气清延晷景	薄筋杯满祝慈岭
槐院风清鹑躔应候	椿庭日永鹤算添筹
午琯延鳌尊杖履	壬林颂美叶笙歌
艾叶香浓笼彩帨	榴花色艳映斑衣
桃实凝香樽倾北海	榴花献瑞诗谱南山
正值榴花多结子	共擎蒲酒祝添庚
蓬矢高悬逢午月	蒲觞上献祝庚星
绮席称觞香浮蒲绿	华堂舞彩色映榴红
寿母酒献千年绿	榴花火明五月红
华祝三多芝呈五色	榴开百子艾保千年
适庆生申文翠香霏绮席	惟兹月午榴红色映斑衣
午月庆芳辰堂前萱草分眉绿	婺星耀瑞彩阶下榴花照眼红
设帨应良辰瑶轸风薰琴鸾叶弦流雅韵	称觥逢令旦璇图云丽筹添鹤算祝遐龄
北海樽前领寿酒	南黄曲奏理瑶琴
祝效华封南薰奏曲	游同河朔北海开樽
养性怡情莲称君子	抚辰览揆椿祝大年
寿宴宏开荷塘风爽	华堂高启棒苑云深
椿树大年宜有祝	莲花生日正当时
鸿案眉齐瑶池桃熟	鹿车手挽荷麦风香
梅子绽时酣夏雨	萱花称满霭慈云
北极供星群开高寿	南风送暖曲奏长生
兰阁风薰绮琴解愠	营庭日丽彩缕延龄
莲沼鸳鸯歌福禄	椿庭鹤鹿祝年龄
火枣交梨众仙上寿	冰桃雪耦一室招凉
碧沼荷开灵娥初度	瑶池桃熟王母长生
樽倾北海欢从三伏游河朔	曲奏南薰喜向季夏祝华封
萱草祝长春奏乐新翻金缕曲	莲花庆生日称觞合献碧筒杯
饮无非碧筒杯介寿欣逢天贶节	游何必赤松子闲身即是地行仙
设帨值良辰碧苑桃开呈丽景	称觞逢令旦瑶池桃熟启华筵
寿锡天孙多富贵	畴陈箕子益康宁
坐看溪云望牛女	笑扶鸠杖话桑麻
古语遥传富贵寿考	遇龄迭晋耄耋期颐
金爵频添千斗酒	玉阶联发五花樽
巧逢天上星辰聚	乞得人间福寿多
寿考长生天孙语妙	乞巧令节老人星辉
花开指甲飞金风	星耀长庚贯斗牛
银汉双星传吉语	璇闺百罗祝慈岭
云捧彩鸾西王母至	花开金凤南极星明
我求懿德终温且惠	天赐纯嘏俾寿而康
鹊贺填桥天孙锡寿	兕觥进酒王母临筵
凉风吹玉律声奏音乐	爽气接瑶池光浮云霞
云捧彩鸾王母至	花开金凤天星来
修德早膺天爵贵	参禅久悟木犀贤
桂殿秋高霓裳奏曲	椿庭日暖莱彩联芳
桂序秋高瑶阶设帨	萱堂昼永绮席称觥
树茂椿庭添福荫	香斟桂酿祝遐龄
上寿长生中秋今节	良宵不放明月前身
萱茂华堂辉生锦帨	桂开月殿曲奏霓裳
节届中秋月圆人寿	寿增上算桂馥兰馨
月到中秋紫府名标金斗篆	人征上寿彩衣香惹玉炉烟
惠然肯来正丛桂留人华堂载进兕觥酒	永锡难老是灵椿益寿海屋平添鹤算筹
千秋金鉴昭明德	八月银涛壮寿文
纬县年高祥征算亥	黄华酒熟庆洽林壬
酌斗称觥醉尝菊酒	拈花插鬓香弄萸房
秋爽璇闺菊花益寿	辉腾宝帨萱草忘忧
松菊不殊陶令宅	图书似泛米家船
菊满篱东称寿客	萱荣堂北祝慈龄
菊酒延年人方送酒	桃糕晋祝客至题糕
东海筹添同庆祝	南山颂献赋登临
数备箕略多获福	同倾菊酒乐延年
东海添筹春秋高矣	南山采菊丰致悠然
婺焕重霄畴呈五福	时维九月序属三秋
萱室发荣光寿祝箕畴备五福	菊篱绽秋色天教晚节傲群芳
令诞处悬弧正菊绽重阳喜见琪花开益寿	嘉祥称览揆是畴陈五福定知宝箓注长生
顿教萱所添春色	记取蓉屏写寿文
梅岭传香来报春信	萱闱养寿晋益慈龄
红叶丛兰花锦绣	方瞳绿鬓玉精神
岭上梅花报春信	阶前萱草护慈龄
海屋筹添图开福寿	华堂宴启序届阳春
日丽萱闱祝无量寿	香传梅岭届小春天
莱舞堂前娱晚寿	梅开岭上得先春
良月筵前介眉酒熟	小春气暖绕膝人腾
梅馥岭南小春有信	萱荣堂北寿算无疆
百算筹添沧海日	三呼嵩祝小阳天
查饵日永添长缕	蔑南灰飞舞彩衣
葭管灰飞平添瑞气	兰陔日永进祝良辰
云捧彩鸾西苑雪瑞	日辉金凤南山松青
来复天心推七日	贞恒慈寿祝千秋
霞琯应时梅花志喜	鹿车表德鹤算增年
初动一阳日添宫缕	骄臻百福春到庭帏
葭琯阳回瑶池春永	萱庭庆集海屋筹添
五福骈致萱草并水仙竞艳	一阳初动算寿与宫纱同添
扶鸠竹外看晴雪	坐石松间煮紫芝
青山有雪存松性	碧落无云称鹤心
颂献嘉平诗歌福祚	人称寿考乐叙纲常
北海酒倾歌寿考	南檐日暖集嘉宾
喜看梅黄逢腊月	寿添萱绿护春云
天竹腊梅相辉成趣	寿山福海共祝无疆
日驻蓬壶驹留余晾	春延萱鹤纪仙筹
请谱南山筵开西序	樽倾北海梅放东台
玉树清香金直日永	绿波放早翠柏春长
五色芝茎慈闱祝寿	百年萱草新岁延龄
天锡遐龄肇八千岁为春之旦	日临初度应十二月成物之功
紫阁生春香添金鼎	黄钟应律冰贮玉壶
腊月颂嘉平视堂上金萱日茂	婺星显灿烂喜庭前翠柏冬荣
翠管银罂添喜气	桑弧蓬矢祝遐龄
挹道叶天和看瑞气腾来三冬尽暖	称觞临岁秒知哲人生后万物方春
延年益寿萱花茂	吉日良辰蓂荚添
酌酒称觞筵开百福	延年益寿斗指双岐
萱祝延龄藕呈益节	蓂占庆瑞桐喜增祥
藕节增添逢闰岁	椿荫茂美护遐龄
益藕添桐逢闰月	悬弧设帨庆良辰
龙辔回环归奇象闰	鹤筹添算益寿延年
蓂荚呈祥悬弧令旦	梧桐纪候佳郁长春
凤尾添翎萱阖日永	鹤筹益算蓬岛春长
念己身出自外家应许燕谋歌祖德	惟仁者必得大寿喜随冀尾附孙行
人道魏舒为宁氏外家宅相	天留郄鉴看献之祝嘏随班
愧无外祖风一片婆心爱自出	忝附诸孙列二门婚媾祝重慈
彩帨高悬福全箕范	重闱大喜忝附兰阶
为多士师半子及门公冶	惟仁者寿一言写照宣民
仰丈人峰名高北斗	修半子礼寿献南山
甥馆护慈云喜进桃觞开绮席	馆甥叨福荫孙行附列祝千秋
桃熟池西图呈王母	萱荣堂北荫庇馆甥
足征盛德如公寿可必得	若说不才像舅我何敢当
咏渭阳诗献冈陵颂	承宅相誉陈洪范篇
葭琯应时梅花多姿吐艳	鹿车表德母寿不老长生
自渐乏舅风小子无知久仰慈云叨庇护	今喜祝母寿长生不老永留爱日乐献娱
祖翁喜享南山寿	孙崽捧来西域桃
德祖寿高苍松不老	贤孙志远事业长春
祖父高龄满院乐	嘉宾祝寿合家欢
祖母今朝称寿母	慈龄盛世享遐龄
祖母添寿福星高照	嘉宾满堂喜气咸宜
八旬祖母瑶池瑞	四世儿孙庭院辉
桃熟三千祝父寿	椿荣四世庆仙龄
家父添筹松延晷景	南山献寿鹤祝长龄
家严鹤发无量寿	吾父童颜不老星
乐地乐天福如东海	如松如柏寿比南山
天护慈萱母永健	云垂玉树岁长青
祝慈母享百年长寿	教儿孙作四化尖兵
王母承欢瑶池锦	慈颜不老萱圃香
堂室生辉荣萱志喜	慈龄长乐获寿延年
门下荷栽培无当日安有今日	堂前祝纯嘏愿先生不老长生
椿树延龄南山献颂	极星耀彩北海开樽
愧小子樗材幸蒙雕琢方成器	祝尊师椿寿长许追随不计年
达材成德幸相期坐小子春风一月	耳顺从心无止境祝先生杖履千秋
看娱老彩衣莱子并承诗礼训	侍传经绎幔韦母来亏视听能
卓尔不群教育亦资内助	贤哉惟母康强可致长生
精神爽朗会享福福如东海	心地光明登高寿寿比南山
喜亲家白发朱颜宜登上寿	好光景丰衣足食乐享晚年
睦邻一家福海朗照千秋月	古稀七旬寿域光涵万里天
散天女花证菩提树	拜观音佛祝罗汉松
开蟠桃花祝无量寿	证菩提果观自在心
百道泉光飞锡杖	一轮月影人霞觞
真心悟如来祝嘏称觞四座同参无量佛	空中现自在歌功颂德十方都是有缘人
九转丹成三生果证	千年桃熟百岁芝荣
壶裹洞天藏日月	山中甲子自春秋
庭畔古松多寿色	树间幽鸟少凡声
气满函关骑青牛过去	筹添海屋招白鹤飞还
人间留驻神仙驾	天上颂来父母官
一路福星口碑载道	万家生佛万寿无疆
立言立功立德	寿国寿世寿民
自是君身有仙骨	无如极责又长生
经济医时昭一代	功名寿世足千秋
策杖挟鸠善人征寿相	调琴伺鹤仙署驻长春
庆洽悬弧娱晚景	恩周挟纩驻春晖
勋业光日月	精神富春秋
帐下东风开寿域	椰前皓月照严城
寿算长绵甲子从人间溯及	武功丕振将军自天上飞来
百年日月长生园	万卷诗书不老丹
千首诗堆青玉案	九宵去覆紫芝林
文名高北斗	颂话献南山
文星彩放三千界	人寿欣逢入百春
云近蓬莱成五色	花开桃李列千行
万春方华千龄始旦	群流仰境大雅扶轮
执教鞭有年乐得英才济济	奉寿觞祝嘏欣来髦士峨峨
立德立言于兹不朽	寿人寿世同此无疆
有志经营善人是富	无疆悠久寿考维祺
长者绝无市井气	寿翁久有牛山名
献桃实三千年刚征瑞应	演箕畴九五福德致嘉祥
喜庭前生意偏多瑶草琪花春自	瞻堂上寿翁不老珠颜玉色日方
堂构相承椿庭介寿	其裘克绍梓舍腾欢
输巧娄明得天独厚	彭年绛甲长乐杀央
大匠经营群推老手	高年颐养共祝长春
绎老疑年二首六身稽亥算	朱颜转少入材九职耐辛勤
香稻清肠仙桃适口	奇花益寿佳果长生
春酒介眉祝无量寿	秋田茂稼歌大有年
羡煞田舍翁岁月优游得长生秘诀	胜彼富家子晨昏定省博老父欢颜
乐圃生香别有壶中日月	芝田纪算伊然世上神仙
著手成春夙精妙术	存心济世永享遐龄
寿享遐龄仁心仁术	功同良相医国医民
